sample_id,read1,read2,single_end
SRR39192342,/home/habee/Downloads/self/metagenome/data/SRR39192342/SRR39192342_R1.fastq.gz,/home/habee/Downloads/self/metagenome/data/SRR39192342/SRR39192342_R2.fastq.gz,false
SRR39192343,/home/habee/Downloads/self/metagenome/data/SRR39192343/SRR39192343_R1.fastq.gz,/home/habee/Downloads/self/metagenome/data/SRR39192343/SRR39192343_R2.fastq.gz,false
